caption,id,image_id
A black Honda motorcycle parked in front of a garage.,38,179765
A Honda motorcycle parked in a grass driveway,182,179765
An office cubicle with four different types of computers.,401,190236
A small closed toilet in a cramped space.,441,331352
Two women waiting at a bench next to a street.,447,517069
A black Honda motorcycle with a dark burgundy seat.,479,179765
A tan toilet and sink combination in a small room.,540,331352
The home office space seems to be very cluttered.,644,190236
A beautiful dessert waiting to be shared by two people,856,182417
A woman sitting on a bench and a woman standing waiting for the bus.,882,517069
A woman sitting on a bench in the middle of the city,957,517069
This is an advanced toilet with a sink and control panel.,981,331352
A cat eating a bird it has caught.,1158,46378
A close-up picture of a toilet with a fountain.,1392,331352
A shot of an elderly man inside a kitchen.,1437,93437
A cat in between two cars in a parking lot.,1536,172330
A woman sitting on a bench and a woman standing behind the bench at a bus stop,1614,517069
An office cubicle with multiple computers in it,1638,472678
An old man is wearing an odd hat,1707,93437
A parade of motorcycles is going through a group of tall trees.,1879,314251
a man sleeping with his cat next to him,2158,223747
An all white kitchen with an electric stovetop. ,2734,109976
an office with desk computer and chair and laptop.,2846,190236
The telephone has a banana where the receiver should be.,2960,12667
Off white toilet with a faucet and controls. ,2970,331352
A white stove sits between two small counter tops.,3202,109976
A woman and another woman waiting at a stop.,3408,517069
Office setting with a lot of computer screens.,3464,190236
Close up of a white kitchen setup with a coffee maker on counter.,4459,109976
A desk and chair in an office cubicle.,4700,190236
A white stove and cabinet inside a kitchen.,4747,109976
There is a piece of cake on a plate with decorations on it.,4882,182417
A cat stands between two parked cars on a grassy sidewalk. ,5037,172330
Creamy cheesecake dessert with whip cream and caramel.,5098,182417
A group of motorcyclists drive down a tree lined street.,5245,314251
A cat at attention between two parked cars.,5406,172330
"A dog sitting between its masters feet on a footstool watching tv
",5509,482917
A young man and his cute cat enjoy a nap together.,5626,223747
A dog between the feet of a person looking at a TV.,5689,482917
An older man is wearing a funny hat in his dining room.,6024,93437
Man in motorcycle leathers standing in front of a group of bikes,6151,534605
"Bikers, dressed in their gear, standing near their motorcycles.",6271,534605
A man is sleeping with his head on a pillow.,6343,223747
A banana replacing the phone on an answering machine,6443,12667
Ma motorcycle parked on the gravel in front of a garage,6638,179765
A dog and a person are watching television together.,6745,482917
A motorcycle with its brake extended standing outside,6803,179765
A group of motorcycles down a long street filled with trees on either side.,7090,314251
A person is sitting with their dog watching tv.,7237,482917
An office desk with two flat panel monitors.,7482,472678
A grey and white cat watches from between parked cars.,7941,172330
A group of men stand next to their bicycles.,7990,534605
Three men standing around their motorcycles in a parking lot.,8173,534605
Man sleeping in his bedroom next to a cat.,8233,223747
Set of toy animals sitting in front of a red wooden wagon.,8242,289393
Group of three motorcyclists standing in front of their motorcycles.,8272,534605
A phone with a banana where the receiver should be.,8522,12667
A woman wearing a hat & pink top takes a selfie in front of a bathroom mirror.,8549,561256
A telephone has it receiver replaced with a banana.,8648,12667
A white cat caught a bird outside on a patio.,8733,46378
Man sleeping next to a cat on a bed. ,8845,223747
This is a small kitchen with white cabinets and appliances.,9115,109976
A striped plane flying up into the sky as the sun shines behind it.,9769,338325
A dog driving an SUV in an open grass covered field.,9862,65485
A customized motorcycle with more in the background.,9914,226662
An airplane is ascending into the white sky,9919,338325
A sculpture of two women stting on a bench with their purses on the ground while people standing in a line behind them. ,10030,11511
An American Airlines plane is in the sky,10069,338325
